job_title,company,job_location,summary,post_date,today,job_url
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
Java Developer - Entry Level,Revature,"New York, NY","Strong desire to learn to code – No prior professional experience required.
Willing to relocate anywhere within Canada – Relocation assistance provided.",22 days ago,2021-04-28,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbIbu35rN4ToQZZxETN3tZlg0cK7iFEHC0AqmvhRxc6_RiK6STRcYZyrh1CX2Ks9VKWvNfzif71TKVvZf2kd948GnuznDX2PvyjtryKd-sAhOKs_Hg-5kiDenMZ1yWLoRy8Hj-c2hhE4pwYYzznSLA9WdMQdaTkay9nVbKcQPdH2Mad-ENZo90t5La7oeWbnkVAlOPTxdzckH67g5PiTUMpk62TsfgBoS7ATdsDxeBj8ooNDjaBJqOimxBpEH5o2jBWnrvQ5kdL2UsTUrcwguC7v7SL5T2i1zmAiIpS6J4ECNLyO5q2QPYcbzSmSsYZAP4EKjSUBZJNUU3JQ7_gtdDsU8qzYc5tZdbpqkeKti9J4_Ig9o6JxnDswDKty-nEXOp0qmlxluW7UwFb2DEYGcGhQRvY0YY2epb-Iw2ExZZtuqNYffsW5nu_Qzh9i2yPAa6CkQItqlvQp5Bs5L33XOZy8L7LlyVJo2g6CIs41G-qBiKkl6GqKp8p9pJjpy1MY2wJql1ZmyfNsfK4dRTQZGTdcRBKbidchXAXLy60B8iXQHETjIVSiE7W2m1VS7HopEcK8sZ0u6corSd77H9S7bYl2LW-ld3RHUxdGRmCVZFonT9LTlVBOk5wgnrqqhyF8M3lOhprfi4xPI-Xe611UpgMKMOM6F85Kf80DSRDOOHNMHxZS8-Z6u0qWv0swog36HfPzVjRn7wpPtUOfgmiIPoSXFPfc-SQbxq_lsfSn6KfViuF768zIQ1QGw-U86JSepwnc6ePATO983CvVoDak45DLmCnKFeghuMZVMP5uHK2lotT_LCKRyVOYZTMHCTRKbZcM831tL21mpg9PNhCvPElPv6t4lrBtGvWkXsqPAybcDK8DLXiuZwh1II3HHoJ8lHAZW87dXL1ZVCsEXbdwIv9esRtwzpcYBioJ2j8mqZHCTLndIz_8hfOyGzZbJ3-7zRa_XtKQ6RFdoKZ5AwHYHhsap4Ue4FEieDBn8EX28aCu5IAoKGXE35wCHH4Y0iQZu6xhslwzXl5g==&p=0&fvj=0&vjs=3
